seed,item,m,U,E_netted,se_slope_netted,E_raw,depth_netted_last,net_max_over_min,raw_max_over_min,first_chunk,last_chunk
0,16,21,281,1.334109e-08,1.279756e-09,1.540261e-02,0.647461,1.000000588,1.822120,6,46
0,17,21,33,1.962299e-08,1.010565e-09,2.963637e-02,0.532486,1.000000810,3.254376,6,46
0,19,21,14,1.880880e-08,1.147576e-09,2.963637e-02,0.652293,1.000000719,3.254376,6,46
0,20,21,16,1.849570e-08,1.365328e-09,2.963637e-02,0.846654,1.000000765,3.254376,6,46
0,21,20,13,1.899019e-08,1.219442e-09,2.913535e-02,0.696667,1.000000716,3.064856,8,46
0,22,20,176,1.845051e-08,1.110614e-09,2.859399e-02,0.498433,1.000000667,2.944681,8,46
0,26,20,111,1.803017e-08,1.185308e-09,2.551881e-02,0.441736,1.000000588,2.559982,8,46
0,27,19,45,1.665168e-08,1.315915e-09,2.847369e-02,0.416467,1.000000612,2.773195,10,46
0,28,19,39,1.998346e-08,1.187629e-09,2.847369e-02,0.469448,1.000000720,2.773196,10,46
0,29,19,26,1.907980e-08,1.171076e-09,2.847369e-02,0.549395,1.000000668,2.773196,10,46
0,30,19,0,1.916472e-08,1.121758e-09,2.847369e-02,0.589735,1.000000671,2.773196,10,46
0,32,19,87,1.638659e-08,1.573640e-09,2.619299e-02,0.635456,1.000000563,2.559982,10,46
0,33,18,7,2.076417e-08,1.022954e-09,2.798763e-02,0.524824,1.000000720,2.559983,12,46
0,34,18,0,1.881760e-08,1.195475e-09,2.798762e-02,0.559729,1.000000638,2.559983,12,46
0,36,18,0,2.153168e-08,1.099094e-09,2.798763e-02,0.446661,1.000000710,2.559983,12,46
0,37,18,0,2.157902e-08,1.445018e-09,2.798763e-02,0.635562,1.000000697,2.559982,12,46
0,39,17,17,1.833919e-08,1.460590e-09,2.757354e-02,0.584345,1.000000587,2.410901,14,46
0,42,17,50,1.927359e-08,1.507310e-09,2.757354e-02,0.589283,1.000000600,2.410901,14,46
0,44,17,15,1.971741e-08,1.536641e-09,2.757354e-02,0.495494,1.000000590,2.410901,14,46
0,45,16,36,2.108763e-08,1.908005e-09,2.704413e-02,0.581328,1.000000635,2.225542,16,46
0,47,16,0,2.050886e-08,1.786122e-09,2.704413e-02,0.613622,1.000000617,2.225542,16,46
0,48,16,39,1.870921e-08,1.977029e-09,2.704413e-02,0.524205,1.000000578,2.225542,16,46
0,50,16,48,1.888848e-08,1.879971e-09,2.623530e-02,0.515527,1.000000586,2.181473,16,46
0,53,15,0,1.850851e-08,2.164450e-09,2.664287e-02,0.453768,1.000000548,2.095936,18,46
0,54,15,0,1.684735e-08,2.022839e-09,2.664286e-02,0.534961,1.000000491,2.095936,18,46
0,56,15,0,1.621303e-08,1.985657e-09,2.664287e-02,0.372445,1.000000494,2.095936,18,46
0,57,14,237,1.120602e-08,2.285837e-09,1.048353e-02,0.489908,1.000000333,1.323130,20,46
0,59,14,0,1.868904e-08,1.809985e-09,2.615386e-02,0.473343,1.000000509,1.934793,20,46
