arm                               MAE       RMSE  state_bytes
[naive] persistence           574.135   1033.389            -
[naive] seasonal_naive_24     574.135   1033.389            -
[naive] seasonal_naive_168    342.651    643.779            -
[naive] seasonal_naive_168_smooth3    389.615    652.718            -
[naive] mean_so_far          1734.862   1978.456            -
[naive] window_mean_24       1749.278   2011.690            -
[naive] global_mean          1733.804   1978.178            -
[strong] gbdt_tuned           335.203    602.736      3618071
[strong] gbdt                 338.647    604.274       414074
[strong] gbdt_cat             339.016    606.380       414492
[strong] gbdt_recent          346.324    616.199       414146
[strong] rls                  374.678    628.753         8976
[strong] gru_big              374.717    656.238       236548
[strong] ridge_batch          399.155    674.535          698
[strong] mlp                  414.972    710.185      1339113
[strong] gru                  447.467    851.290        70404
[exemplar] knnk_14894_10_raw    300.091    532.200      1966008
[exemplar] knnk_14894_25_raw    302.804    537.003      1966008
[exemplar] knnwin_34847_raw    304.016    533.759      4599804
[exemplar] knnwin_14894_raw    306.762    541.050      1966008
[exemplar] knnwin_10000_raw    307.080    542.521      1320000
[exemplar] knnk_14894_50_raw    313.155    547.627      1966008
[exemplar] knnk_5037_10_raw    314.575    560.341       664884
[exemplar] knnk_14894_3_raw    317.689    559.737      1966008
[exemplar] knnk_5037_25_raw    319.181    560.459       664884
[exemplar] knnwin_5037_raw    320.982    570.919       664884
[exemplar] knnwin_5000_raw    321.223    571.160       660000
[exemplar] knnwin_2000_raw    325.217    582.017       264000
[exemplar] knnsam_5037_raw    325.709    580.253       664884
[exemplar] knnwin_34847_std    327.412    570.768      4599804
[exemplar] knnwin_1000_raw    327.792    587.148       132000
[exemplar] knnwin_1007_raw    327.882    587.538       132924
[exemplar] knnsam_1007_raw    328.511    587.828       132924
[exemplar] knnwin_14894_std    328.722    574.579      1966008
[exemplar] knnwin_10000_std    329.492    577.163      1320000
[exemplar] knnk_5037_3_raw    331.821    587.444       664884
[exemplar] knnk_1007_10_raw    331.869    579.676       132924
[exemplar] knnk_1007_3_raw    335.353    605.999       132924
[exemplar] knnk_5037_50_raw    337.149    572.208       664884
[exemplar] knnwin_5037_std    342.746    596.010       664884
[exemplar] knnwin_5000_std    342.874    595.800       660000
[exemplar] knnwin_500_raw     347.885    606.381        66000
[exemplar] knnwin_2000_std    355.716    612.509       264000
[exemplar] knnwin_1007_std    363.592    618.484       132924
[exemplar] knnwin_1000_std    363.760    618.580       132000
[exemplar] knnk_14894_1_raw    364.670    654.266      1966008
[exemplar] knnk_1007_25_raw    368.313    598.250       132924
[exemplar] knnk_5037_1_raw    383.263    694.285       664884
[exemplar] knnk_1007_1_raw    385.971    710.889       132924
[exemplar] knnwin_500_std     387.748    644.988        66000
[exemplar] knnk_1007_50_raw    402.366    623.421       132924
[exemplar] knnwin_250_raw     407.905    667.817        33000
[exemplar] knnwin_250_std     446.636    705.737        33000
