map	regime	visit	first_day	last_day	n_windows	n_pairs	pair_first	pair_last
D_primary	1	1	2012-10-09	2012-10-12	4	73	0	72
D_primary	0	1	2012-10-13	2012-10-13	1	19	73	91
D_primary	0	2	2012-10-20	2012-10-20	1	23	92	114
D_primary	1	2	2012-10-29	2012-11-02	5	120	127	246
D_primary	0	3	2012-11-03	2012-11-04	2	47	247	293
D_primary	1	3	2012-11-05	2012-11-09	5	117	294	410
D_primary	0	4	2012-11-10	2012-11-12	3	71	411	481
D_primary	1	4	2012-11-13	2012-11-16	4	95	482	576
D_primary	0	5	2012-11-17	2012-11-18	2	47	577	623
D_primary	1	5	2012-11-19	2012-11-21	3	72	624	695
D_primary	0	6	2012-11-22	2012-11-25	4	89	696	784
D_primary	0	7	2012-12-02	2012-12-02	1	20	785	804
D_primary	1	6	2012-12-03	2012-12-07	5	117	805	921
D_primary	0	8	2012-12-08	2012-12-10	3	70	922	991
D_primary	1	7	2012-12-11	2012-12-14	4	95	992	1086
D_primary	0	9	2012-12-15	2012-12-16	2	47	1087	1133
D_primary	1	8	2012-12-17	2012-12-21	5	118	1134	1251
D_primary	0	10	2012-12-22	2012-12-26	5	119	1252	1370
D_primary	1	9	2012-12-27	2012-12-27	1	24	1371	1394
D_primary	0	11	2012-12-28	2013-01-01	5	117	1395	1511
D_primary	1	10	2013-01-02	2013-01-04	3	69	1512	1580
D_primary	0	12	2013-01-05	2013-01-05	1	19	1581	1599
D_primary	1	11	2013-01-18	2013-01-18	1	23	1605	1627
D_primary	0	13	2013-01-19	2013-01-21	3	61	1628	1688
D_primary	1	12	2013-01-22	2013-01-25	4	74	1689	1762
D_primary	1	13	2013-02-06	2013-02-08	3	54	1778	1831
D_primary	0	14	2013-02-09	2013-02-11	3	57	1832	1888
D_primary	1	14	2013-02-12	2013-02-15	4	84	1889	1972
D_primary	0	15	2013-02-16	2013-02-18	3	67	1973	2039
D_primary	1	15	2013-02-19	2013-02-21	3	54	2040	2093
D_primary	0	16	2013-02-22	2013-02-24	3	72	2094	2165
D_primary	1	16	2013-02-25	2013-02-28	4	86	2166	2251
D_primary	1	17	2013-03-14	2013-03-15	2	29	2265	2293
D_primary	0	17	2013-03-16	2013-03-18	3	43	2294	2336
D_primary	1	18	2013-03-19	2013-03-22	4	87	2337	2423
D_primary	0	18	2013-03-23	2013-03-24	2	48	2424	2471
D_primary	1	19	2013-03-25	2013-03-29	5	119	2472	2590
D_primary	0	19	2013-03-30	2013-03-31	2	48	2591	2638
D_primary	1	20	2013-04-01	2013-04-05	5	113	2639	2751
D_primary	0	20	2013-04-06	2013-04-07	2	47	2752	2798
D_primary	1	21	2013-04-08	2013-04-10	3	72	2799	2870
D_primary	0	21	2013-04-11	2013-04-11	1	24	2871	2894
D_primary	1	22	2013-04-12	2013-04-13	2	48	2895	2942
D_primary	0	22	2013-04-14	2013-04-14	1	24	2943	2966
D_primary	1	23	2013-04-15	2013-04-17	3	71	2967	3037
D_primary	0	23	2013-04-18	2013-04-18	1	24	3038	3061
D_primary	1	24	2013-04-19	2013-04-19	1	23	3062	3084
D_primary	0	24	2013-04-20	2013-04-21	2	47	3085	3131
D_primary	1	25	2013-04-22	2013-04-26	5	118	3132	3249
D_primary	0	25	2013-04-27	2013-04-28	2	48	3250	3297
D_primary	1	26	2013-04-29	2013-05-03	5	119	3298	3416
D_primary	0	26	2013-05-04	2013-05-05	2	48	3417	3464
D_primary	1	27	2013-05-06	2013-05-10	5	120	3465	3584
D_primary	0	27	2013-05-11	2013-05-12	2	48	3585	3632
D_primary	1	28	2013-05-13	2013-05-17	5	119	3633	3751
D_primary	0	28	2013-05-18	2013-05-19	2	48	3752	3799
D_primary	1	29	2013-05-20	2013-05-24	5	119	3800	3918
D_primary	0	29	2013-05-25	2013-05-27	3	72	3919	3990
D_primary	1	30	2013-05-28	2013-05-31	4	94	3991	4084
D_primary	0	30	2013-06-01	2013-06-02	2	48	4085	4132
D_primary	1	31	2013-06-03	2013-06-07	5	120	4133	4252
D_primary	0	31	2013-06-08	2013-06-09	2	48	4253	4300
D_primary	1	32	2013-06-10	2013-06-14	5	117	4301	4417
D_primary	0	32	2013-06-15	2013-06-16	2	48	4418	4465
D_primary	1	33	2013-06-17	2013-06-19	3	60	4466	4525
D_primary	0	33	2013-06-30	2013-06-30	1	24	4536	4559
D_primary	1	34	2013-07-01	2013-07-03	3	71	4560	4630
D_primary	0	34	2013-07-04	2013-07-07	4	94	4631	4724
D_primary	1	35	2013-07-08	2013-07-12	5	118	4725	4842
D_primary	0	35	2013-07-13	2013-07-14	2	48	4843	4890
D_primary	1	36	2013-07-15	2013-07-15	1	15	4891	4905
D_primary	1	37	2013-07-23	2013-07-26	4	90	4917	5006
D_primary	0	36	2013-07-27	2013-07-28	2	48	5007	5054
D_primary	1	38	2013-07-29	2013-08-02	5	114	5055	5168
D_primary	0	37	2013-08-03	2013-08-04	2	46	5169	5214
D_primary	1	39	2013-08-05	2013-08-09	5	107	5215	5321
D_primary	0	38	2013-08-10	2013-08-11	2	45	5322	5366
D_primary	1	40	2013-08-12	2013-08-16	5	103	5367	5469
D_primary	0	39	2013-08-17	2013-08-18	2	47	5470	5516
D_primary	1	41	2013-08-19	2013-08-23	5	118	5517	5634
D_primary	0	40	2013-08-24	2013-08-25	2	36	5635	5670
D_primary	1	42	2013-08-26	2013-08-26	1	22	5671	5692
D_primary	1	43	2013-11-13	2013-11-15	3	65	5704	5768
D_primary	0	41	2013-11-16	2013-11-17	2	42	5769	5810
D_primary	1	44	2013-11-18	2013-11-22	5	117	5811	5927
D_primary	0	42	2013-11-23	2013-11-24	2	48	5928	5975
D_primary	1	45	2013-11-25	2013-11-27	3	66	5976	6041
D_primary	0	43	2013-11-28	2013-12-01	4	94	6042	6135
D_primary	1	46	2013-12-02	2013-12-03	2	47	6136	6182
D_primary	0	44	2013-12-04	2013-12-04	1	24	6183	6206
D_primary	1	47	2013-12-05	2013-12-06	2	45	6207	6251
D_primary	0	45	2013-12-07	2013-12-08	2	44	6252	6295
D_primary	1	48	2013-12-09	2013-12-13	5	112	6296	6407
D_primary	0	46	2013-12-14	2013-12-16	3	68	6408	6475
D_primary	1	49	2013-12-17	2013-12-20	4	89	6476	6564
D_primary	0	47	2013-12-21	2013-12-22	2	44	6565	6608
D_primary	1	50	2013-12-23	2013-12-23	1	23	6609	6631
D_primary	0	48	2013-12-24	2014-01-01	9	202	6632	6833
D_primary	1	51	2014-01-02	2014-01-03	2	43	6834	6876
D_primary	0	49	2014-01-04	2014-01-07	4	91	6877	6967
D_primary	1	52	2014-01-08	2014-01-10	3	67	6968	7034
D_primary	0	50	2014-01-11	2014-01-12	2	45	7035	7079
D_primary	1	53	2014-01-13	2014-01-13	1	23	7080	7102
D_primary	0	51	2014-01-14	2014-01-14	1	23	7103	7125
D_primary	1	54	2014-01-15	2014-01-17	3	64	7126	7189
D_primary	0	52	2014-01-18	2014-01-20	3	67	7190	7256
D_primary	1	55	2014-01-21	2014-01-22	2	46	7257	7302
D_primary	0	53	2014-01-23	2014-01-23	1	22	7303	7324
D_primary	1	56	2014-01-24	2014-01-24	1	23	7325	7347
D_primary	0	54	2014-01-25	2014-01-28	4	95	7348	7442
D_primary	1	57	2014-01-29	2014-01-29	1	24	7443	7466
D_primary	0	55	2014-01-30	2014-01-30	1	24	7467	7490
D_primary	1	58	2014-01-31	2014-01-31	1	24	7491	7514
D_primary	0	56	2014-02-01	2014-02-02	2	48	7515	7562
D_primary	1	59	2014-02-03	2014-02-07	5	120	7563	7682
D_primary	0	57	2014-02-08	2014-02-09	2	48	7683	7730
D_primary	1	60	2014-02-10	2014-02-14	5	120	7731	7850
D_primary	0	58	2014-02-15	2014-02-17	3	72	7851	7922
D_primary	1	61	2014-02-18	2014-02-19	2	48	7923	7970
D_primary	0	59	2014-02-20	2014-02-24	5	120	7971	8090
D_primary	1	62	2014-02-25	2014-02-28	4	96	8091	8186
D_primary	0	60	2014-03-01	2014-03-02	2	48	8187	8234
D_primary	1	63	2014-03-03	2014-03-05	3	58	8235	8292
D_primary	1	64	2014-03-12	2014-03-14	3	72	8295	8366
D_primary	0	61	2014-03-15	2014-03-16	2	48	8367	8414
D_primary	1	65	2014-03-17	2014-03-21	5	120	8415	8534
D_primary	0	62	2014-03-22	2014-03-23	2	48	8535	8582
D_primary	1	66	2014-03-24	2014-03-28	5	120	8583	8702
D_primary	0	63	2014-03-29	2014-03-30	2	48	8703	8750
D_primary	1	67	2014-03-31	2014-04-03	4	95	8751	8845
D_primary	0	64	2014-04-04	2014-04-06	3	72	8846	8917
D_primary	1	68	2014-04-07	2014-04-11	5	120	8918	9037
D_primary	0	65	2014-04-12	2014-04-13	2	48	9038	9085
D_primary	1	69	2014-04-14	2014-04-18	5	120	9086	9205
D_primary	0	66	2014-04-19	2014-04-20	2	46	9206	9251
D_primary	1	70	2014-04-21	2014-04-25	5	120	9252	9371
D_primary	0	67	2014-04-26	2014-04-27	2	48	9372	9419
D_primary	1	71	2014-04-28	2014-04-28	1	24	9420	9443
D_primary	1	72	2014-05-13	2014-05-16	4	84	9453	9536
D_primary	0	68	2014-05-17	2014-05-18	2	48	9537	9584
D_primary	1	73	2014-05-19	2014-05-23	5	119	9585	9703
