[rss] run_pilot/enter                    rss    0.31 GB | peak    0.31 GB | children   0.00 GB (n=0) | t 0s
[rss] phi_gain/enter                     rss    0.35 GB | peak    0.35 GB | children   0.00 GB (n=0) | t 0s
[rss] phi_gain/exit                      rss    0.48 GB | peak    0.48 GB | children   0.00 GB (n=0) | t 2s
[rss] phi_gain/released                  rss    0.47 GB | peak    0.48 GB | children   0.00 GB (n=0) | t 3s
[rss] monitors_init/enter                rss    0.73 GB | peak    0.73 GB | children   0.00 GB (n=0) | t 12s
[rss] monitors_init/exit                 rss    1.23 GB | peak    1.25 GB | children   0.00 GB (n=0) | t 28s
[rss] monitors_init/released             rss    1.32 GB | peak    1.34 GB | children   0.00 GB (n=0) | t 28s
[rss] allocation_liveness_init/enter     rss    1.32 GB | peak    1.34 GB | children   0.00 GB (n=0) | t 28s
[rss] allocation_liveness_init/exit      rss    2.09 GB | peak    2.37 GB | children   0.00 GB (n=0) | t 42s
[rss] allocation_liveness_init/released  rss    1.27 GB | peak    2.37 GB | children   0.00 GB (n=0) | t 42s
[rss] gradient_probe_init/enter          rss    1.27 GB | peak    2.37 GB | children   0.00 GB (n=0) | t 42s
[rss] gradient_probe_init/exit           rss    2.92 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 99s
[rss] gradient_probe_init/released       rss    2.41 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 100s
[rss] clu_store/train/enter              rss    2.41 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 100s
[watch/clu_store] step 0 (untrained): depth 0.06864 (x1 vs untrained) | q* payload spread 0.1423 (x1) | n_live 3
[train/clu_store] step 0/6 | nll 5.7772 bpc 8.3348 | wall_s 13.1 (13.15 s/step) | plan_s 1.5 (12%)
[watch/clu_store] step 5 (trained): depth 0.02531 (x0.369 vs untrained) | q* payload spread 0.04542 (x0.319) | n_live 4
[train/clu_store] step 5/6 | nll 5.5451 bpc 7.9999 | wall_s 27.1 (4.51 s/step) | plan_s 3.7 (14%)
[rss] clu_store/train/exit               rss    3.32 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 140s
[rss] clu_store/train/released           rss    3.32 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 140s
[rss] clu_store/static/enter             rss    3.32 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 140s
[rss] clu_store/static/exit              rss    3.28 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 145s
[rss] clu_store/static/released          rss    3.27 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 145s
[rss] clu_store/dyneval/enter            rss    3.27 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 145s
[rss] clu_store/dyneval/exit             rss    2.30 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 190s
[rss] clu_store/dyneval/released         rss    2.27 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 190s
[rss] clu_store/blank_store/enter        rss    2.27 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 190s
[rss] clu_store/blank_store/exit         rss    2.23 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 194s
[rss] clu_store/blank_store/released     rss    2.22 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 194s
[rss] clu_store/anytime_curve/enter      rss    2.22 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 194s
[rss] clu_store/anytime_curve/exit       rss    2.01 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 216s
[rss] clu_store/anytime_curve/released   rss    2.01 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 216s
[rss] clu_store/gradient_probe_final/enter rss    2.01 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 216s
[rss] clu_store/gradient_probe_final/exit rss    2.94 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 273s
[rss] clu_store/gradient_probe_final/released rss    3.14 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 274s
[rss] clu_store/selectors_final/enter    rss    3.14 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 274s
[rss] clu_store/selectors_final/exit     rss    3.14 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 274s
[rss] clu_store/selectors_final/released rss    3.14 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 274s
[clu_store] static bpc 8.0117 | dyneval bpc 8.0068 | 175s
[rss] clu_store/done/released            rss    3.14 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 274s
[rss] gru_matched/train/enter            rss    3.14 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 274s
[train/gru_matched] step 0/6 | nll 5.7741 bpc 8.3303 | wall_s 2.1 (2.06 s/step) | plan_s 0.5 (22%)
[train/gru_matched] step 5/6 | nll 5.5458 bpc 8.0009 | wall_s 2.4 (0.41 s/step) | plan_s 0.7 (30%)
[rss] gru_matched/train/exit             rss    3.16 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 277s
[rss] gru_matched/train/released         rss    3.15 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 278s
[rss] gru_matched/static/enter           rss    3.15 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 278s
[rss] gru_matched/static/exit            rss    3.16 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 278s
[rss] gru_matched/static/released        rss    3.15 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 278s
[rss] gru_matched/dyneval/enter          rss    3.15 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 279s
[rss] gru_matched/dyneval/exit           rss    2.92 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 287s
[rss] gru_matched/dyneval/released       rss    2.90 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 287s
[gru_matched] static bpc 8.0178 | dyneval bpc 8.0128 | 13s
[rss] gru_matched/done/released          rss    2.90 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 287s
[rss] run_pilot/finish                   rss    2.90 GB | peak    3.65 GB | children   0.00 GB (n=0) | t 287s
wrote /Users/user/Desktop/CHLU/.claude/outputs/pilot-checkpoint-resume/gate_new/pilot_toy_seed0_S3.json (287s, stages S1+S2+S3)
